SecondarySchoolHtgSetpDefault,16.0000017,21.0000017,60,15,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017
SecondarySchoolHtgSetpSummerDesignDay,16,16,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
SecondarySchoolHtgSetpWinterDesignDay,21,21,96,24,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
SecondarySchoolClgSetpDefault,23.9999983,26.99999915,60,15,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915
SecondarySchoolClgSetpSummerDesignDay,24,24,96,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
SecondarySchoolClgSetpWinterDesignDay,27,27,0,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
SecondarySchoolHtgSetpBathCorrMechKitchenDefault,15.99999958,21.0000017,60,15,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958,15.99999958
SecondarySchoolHtgSetpBathCorrMechKitchenSummerDesignDay,16,16,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
SecondarySchoolHtgSetpBathCorrMechKitchenWinterDesignDay,21.0000017,21.0000017,96,24,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017
SecondarySchoolClgSetpBathCorrMechKitchenDefault,23.9999983,26.99999915,60,15,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915
